"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"BSE","EQ","13-Feb-2025","5,355.30","5,364.00","5,394.95","5,206.00","5,252.70","5,255.45","5,294.17","19,53,805","10,34,37,76,921.75","1,64,635","4,79,177","24.53"
"BSE","EQ","14-Feb-2025","5,255.45","5,335.00","5,335.00","5,066.00","5,090.00","5,120.55","5,189.31","23,80,887","12,35,51,61,623.35","1,83,061","5,70,246","23.95"
"BSE","EQ","17-Feb-2025","5,120.55","5,099.50","5,234.00","4,971.00","5,210.00","5,208.70","5,137.89","19,19,814","9,86,37,90,634.10","1,65,329","4,55,641","23.73"
"BSE","EQ","18-Feb-2025","5,208.70","5,209.00","5,227.00","5,090.00","5,165.00","5,186.10","5,149.40","12,52,841","6,45,13,75,668.15","1,10,555","3,64,395","29.09"
"BSE","EQ","19-Feb-2025","5,186.10","5,155.00","5,674.70","5,149.95","5,608.50","5,631.00","5,513.63","39,43,621","21,74,36,77,177.95","2,65,158","12,14,147","30.79"
"BSE","EQ","20-Feb-2025","5,631.00","5,687.00","5,983.00","5,604.50","5,940.00","5,959.15","5,833.92","48,88,570","28,51,95,08,265.50","3,23,038","10,41,667","21.31"
"BSE","EQ","21-Feb-2025","5,959.15","5,939.90","6,047.45","5,712.45","5,745.00","5,757.80","5,862.36","33,59,740","19,69,60,01,947.75","2,38,065","5,14,270","15.31"
"BSE","EQ","24-Feb-2025","5,757.80","5,650.00","5,742.00","5,586.00","5,594.00","5,609.25","5,642.26","14,87,461","8,39,26,34,960.70","1,23,567","2,68,143","18.03"
"BSE","EQ","25-Feb-2025","5,609.25","5,650.00","5,665.35","5,490.00","5,494.00","5,502.00","5,552.03","17,32,174","9,61,70,79,315.35","1,29,788","3,33,187","19.24"
"BSE","EQ","27-Feb-2025","5,502.00","5,514.95","5,524.00","5,120.00","5,145.00","5,162.50","5,228.74","27,48,300","14,37,01,43,878.50","2,27,157","6,83,691","24.88"
"BSE","EQ","28-Feb-2025","5,162.50","5,120.00","5,199.00","4,551.20","4,654.00","4,633.70","4,754.88","71,79,306","34,13,67,12,612.65","4,68,558","15,15,151","21.10"
"BSE","EQ","03-Mar-2025","4,633.70","4,615.00","4,615.00","4,343.65","4,366.00","4,359.45","4,442.17","63,40,155","28,16,40,16,177.40","4,05,293","17,13,013","27.02"
"BSE","EQ","04-Mar-2025","4,359.45","4,282.10","4,564.95","4,187.00","4,446.75","4,453.65","4,456.25","64,17,317","28,59,71,53,649.95","3,77,771","10,18,835","15.88"
"BSE","EQ","05-Mar-2025","4,453.65","4,300.00","4,372.65","4,035.10","4,290.00","4,299.10","4,207.72","1,09,04,577","45,88,33,93,778.95","5,88,275","17,35,895","15.92"
"BSE","EQ","06-Mar-2025","4,299.10","4,380.00","4,383.75","4,215.00","4,218.95","4,253.45","4,302.76","48,93,825","21,05,69,57,514.50","2,77,932","8,60,277","17.58"
"BSE","EQ","07-Mar-2025","4,253.45","4,229.90","4,324.80","4,162.05","4,183.00","4,178.30","4,240.77","36,80,483","15,60,80,68,589.85","2,17,793","6,14,336","16.69"
"BSE","EQ","10-Mar-2025","4,178.30","4,170.00","4,233.80","3,976.05","3,982.90","3,998.95","4,059.06","41,72,387","16,93,59,66,671.35","2,48,429","9,01,690","21.61"
