"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"SAMMAANCAP","EQ","04-Nov-2024","145.25","145.39","145.45","139.78","141.42","142.00","141.86","29,64,101","42,04,99,723.94","27,164","11,84,630","39.97"
"SAMMAANCAP","EQ","05-Nov-2024","142.00","141.10","143.95","141.00","143.40","143.48","142.54","25,11,442","35,79,91,602.10","22,078","9,97,980","39.74"
"SAMMAANCAP","EQ","06-Nov-2024","143.48","143.64","149.06","143.64","149.00","148.72","146.79","38,82,756","56,99,62,952.70","27,942","18,52,177","47.70"
"SAMMAANCAP","EQ","07-Nov-2024","148.72","149.00","149.98","144.42","144.91","144.95","146.85","34,18,436","50,20,04,500.46","30,184","17,24,060","50.43"
"SAMMAANCAP","EQ","08-Nov-2024","144.95","145.00","145.31","141.82","142.85","143.46","143.27","26,77,460","38,35,93,128.06","27,608","11,98,301","44.76"
"SAMMAANCAP","EQ","11-Nov-2024","143.46","142.75","142.77","138.50","140.60","140.43","140.16","47,55,673","66,65,45,970.89","37,417","20,62,650","43.37"
"SAMMAANCAP","EQ","12-Nov-2024","140.43","141.00","143.55","137.50","138.05","138.35","141.18","28,46,088","40,18,17,433.74","26,877","12,26,604","43.10"
"SAMMAANCAP","EQ","13-Nov-2024","138.35","138.79","139.29","133.11","134.74","133.74","135.73","57,59,495","78,17,22,046.05","43,641","31,33,565","54.41"
"SAMMAANCAP","EQ","14-Nov-2024","133.74","133.10","138.15","133.10","134.85","134.87","136.15","38,03,932","51,78,95,675.67","37,046","13,88,031","36.49"
"SAMMAANCAP","EQ","18-Nov-2024","134.87","131.01","145.95","130.69","144.20","144.59","140.92","1,61,77,210","2,27,96,77,571.97","94,632","53,84,182","33.28"
"SAMMAANCAP","EQ","19-Nov-2024","144.59","143.11","153.50","143.11","148.90","150.63","150.71","1,27,15,536","1,91,63,60,167.25","86,298","52,04,062","40.93"
"SAMMAANCAP","EQ","21-Nov-2024","150.63","148.89","161.88","147.76","160.90","159.70","154.83","1,76,35,987","2,73,05,86,465.11","1,09,676","77,98,203","44.22"
"SAMMAANCAP","EQ","22-Nov-2024","159.70","161.40","161.62","155.19","155.50","155.79","157.91","69,43,026","1,09,63,85,907.18","52,382","26,51,684","38.19"
"SAMMAANCAP","EQ","25-Nov-2024","155.79","158.90","164.48","157.84","161.50","161.83","161.85","1,29,95,962","2,10,34,08,007.23","73,461","65,98,047","50.77"
"SAMMAANCAP","EQ","26-Nov-2024","161.83","161.00","163.20","158.96","160.90","160.70","160.95","55,50,689","89,34,02,752.25","42,119","22,51,844","40.57"
"SAMMAANCAP","EQ","27-Nov-2024","160.70","161.19","166.70","160.92","164.15","164.37","164.60","78,00,500","1,28,39,78,578.54","47,947","30,52,584","39.13"
"SAMMAANCAP","EQ","28-Nov-2024","164.37","165.19","169.35","163.81","167.49","167.14","167.30","1,05,82,246","1,77,03,88,446.41","63,511","45,03,095","42.55"
"SAMMAANCAP","EQ","29-Nov-2024","167.14","168.00","169.75","165.50","167.80","167.87","167.87","86,28,416","1,44,84,38,272.42","42,566","50,57,138","58.61"
"SAMMAANCAP","EQ","02-Dec-2024","167.87","166.25","168.00","163.26","166.40","166.67","165.44","69,96,548","1,15,75,07,197.33","34,071","35,09,129","50.16"
"SAMMAANCAP","EQ","03-Dec-2024","166.67","166.97","170.25","165.05","167.45","167.67","167.44","65,62,514","1,09,88,44,674.48","44,750","29,24,094","44.56"
"SAMMAANCAP","EQ","04-Dec-2024","167.67","168.65","169.80","165.50","166.79","166.79","167.37","52,87,792","88,50,38,884.03","41,126","25,55,402","48.33"
"SAMMAANCAP","EQ","05-Dec-2024","166.79","167.30","167.32","161.19","162.61","162.75","163.38","62,89,533","1,02,75,63,480.03","40,858","28,83,707","45.85"
"SAMMAANCAP","EQ","06-Dec-2024","162.75","163.50","166.40","160.00","161.40","161.02","163.23","71,00,114","1,15,89,79,887.98","40,809","35,49,386","49.99"
"SAMMAANCAP","EQ","09-Dec-2024","161.02","162.20","168.70","160.50","167.51","167.73","165.73","1,55,21,205","2,57,22,55,137.24","73,163","76,45,903","49.26"
"SAMMAANCAP","EQ","10-Dec-2024","167.73","169.00","170.11","165.10","165.40","165.76","167.17","53,02,434","88,63,84,531.69","26,312","22,25,994","41.98"
"SAMMAANCAP","EQ","11-Dec-2024","165.76","166.00","168.80","164.28","168.00","167.86","166.69","65,81,587","1,09,70,68,636.89","40,300","28,01,300","42.56"
"SAMMAANCAP","EQ","12-Dec-2024","167.86","168.90","169.49","161.91","162.59","162.36","165.01","83,74,794","1,38,19,04,609.87","48,028","34,62,877","41.35"
"SAMMAANCAP","EQ","13-Dec-2024","162.36","162.89","163.30","156.50","159.01","159.06","159.25","64,76,227","1,03,13,39,155.74","48,443","28,20,126","43.55"
"SAMMAANCAP","EQ","16-Dec-2024","159.06","159.70","164.95","159.30","159.51","159.81","161.80","69,77,948","1,12,90,00,064.86","40,823","30,33,483","43.47"
"SAMMAANCAP","EQ","17-Dec-2024","159.81","161.00","161.00","154.58","157.01","156.72","156.99","77,41,139","1,21,53,09,899.92","62,706","41,23,514","53.27"
"SAMMAANCAP","EQ","18-Dec-2024","156.72","157.01","158.24","154.03","154.37","154.93","156.26","40,49,120","63,26,95,558.56","40,528","18,47,269","45.62"
"SAMMAANCAP","EQ","19-Dec-2024","154.93","150.50","154.89","150.50","154.50","154.15","153.31","36,65,945","56,20,35,766.50","27,301","15,87,609","43.31"
"SAMMAANCAP","EQ","20-Dec-2024","154.15","155.00","158.50","150.11","151.79","151.87","153.49","1,80,45,173","2,76,97,19,587.28","83,966","1,06,41,266","58.97"
"SAMMAANCAP","EQ","23-Dec-2024","151.87","155.00","155.01","148.40","148.60","149.41","151.19","36,24,910","54,80,34,307.54","36,021","16,19,397","44.67"
"SAMMAANCAP","EQ","24-Dec-2024","149.41","150.05","151.00","149.40","149.90","149.98","150.07","28,14,619","42,23,94,125.94","54,926","15,23,761","54.14"
"SAMMAANCAP","EQ","26-Dec-2024","149.98","151.25","154.80","149.98","153.65","154.08","152.60","39,04,492","59,58,08,407.67","27,112","17,48,948","44.79"
"SAMMAANCAP","EQ","27-Dec-2024","154.08","154.15","156.90","153.10","153.71","153.93","154.64","31,64,451","48,93,63,470.16","21,904","12,76,345","40.33"
"SAMMAANCAP","EQ","30-Dec-2024","153.93","154.48","154.56","148.42","149.12","149.73","151.64","29,47,186","44,69,16,974.76","25,262","13,54,800","45.97"
"SAMMAANCAP","EQ","31-Dec-2024","149.73","149.60","151.34","149.10","150.96","151.07","150.50","20,81,030","31,31,89,974.17","16,529","9,09,033","43.68"
"SAMMAANCAP","EQ","01-Jan-2025","151.07","151.00","153.55","150.76","152.70","152.98","152.68","18,06,501","27,58,15,208.58","15,457","8,04,741","44.55"
"SAMMAANCAP","EQ","02-Jan-2025","152.98","155.50","163.70","153.66","162.59","162.79","160.88","1,80,59,873","2,90,54,40,903.66","1,14,495","63,38,730","35.10"
"SAMMAANCAP","EQ","03-Jan-2025","162.79","162.10","165.24","161.10","163.00","163.23","163.71","77,64,290","1,27,10,99,093.44","49,208","31,15,062","40.12"
"SAMMAANCAP","EQ","06-Jan-2025","163.23","163.79","163.79","155.06","156.95","157.28","158.52","71,83,545","1,13,87,19,219.47","48,557","37,48,135","52.18"
"SAMMAANCAP","EQ","07-Jan-2025","157.28","159.04","161.30","157.95","159.35","159.59","159.80","54,11,161","86,46,97,943.19","40,207","25,50,370","47.13"
